name,sex,obstacle,obstacle_number,cause
Meagan Martin,F,Slide Surfer,1,Fall
DeShawn Harris,M,Slide Surfer,1,Fall
Heather Weissinger,F,Swinging Blades,2,Fall
Cam Baumgartner,M,Swinging Blades,2,Fall
Brittney Durant,F,Swinging Blades,2,Fall
Casey Rothschild,F,Swinging Blades,2,Fall
Brett Hernandez Strong,M,Swinging Blades,2,Fall
Jay Lewis,M,Double Dipper,3,Fall
Amir Malik,M,Double Dipper,3,Fall
Megan Rowe,F,Double Dipper,3,Fall
Rachel Degutz,F,Double Dipper,3,Fall
Will Schlageter,M,Double Dipper,3,Fall
Francisco Barajas,M,Double Dipper,3,Fall
Bob Reese,M,Double Dipper,3,Fall
Abel Gonzalez,M,Jumping Spider,4,Fall
Nate Hansen,M,Jumping Spider,4,Fall
Devan Alexander,M,Jumping Spider,4,Fall
Owen Dyer,M,Jumping Spider,4,Fall
Ava Colasanti,F,Jumping Spider,4,Fall
Dan Champagne,M,Jumping Spider,4,Fall
Eric Middleton,M,Jumping Spider,4,Fall
Alex Begolly,M,Jumping Spider,4,Fall
Cara Mack,F,Jumping Spider,4,Fall
John Uga,M,Jumping Spider,4,Fall
Deren Perez,M,Tire Run,5,Fall
Lance Pekus,M,Tire Run,5,Fall
Zhanique Lovett,F,Tire Run,5,Fall
True Becker,M,Tire Run,5,Fall
Jonah Muñoz,M,Tire Run,5,Fall
Nate Pardo,M,Dipping Birds,7,Fall
Isabella Wakeham,F,Dipping Birds,7,Fall
Jody Avila,M,Dipping Birds,7,Fall
Hunter Guerard,M,Warped Wall,6,Time
Lucas Reale,M,The High Road,8,Fall
Joe Moravsky,M,The High Road,8,Fall
Mike Beadle,M,Fly Hooks,8,Fall
Jamie Rahn,M,Fly Hooks,8,Fall
R.J. Roman,M,Fly Hooks,8,Fall
Tiana Webberley,F,Dipping Birds,7,Time
Caiden Madzelan,M,Fly Hooks,8,Time
Christian Youst,M,Fly Hooks,8,Time
Brett Sims,M,Fly Hooks,8,Time
Ryan Meeks,M,Cargo Net,9,Complete
Isaiah Wakeham,M,Cargo Net,9,Complete
Tyler Yamauchi,M,Cargo Net,9,Complete
Max Feinberg,M,Cargo Net,9,Complete
Donovan Metoyer,M,Cargo Net,9,Complete
Isaiah Thomas,M,Cargo Net,9,Complete
Tyler Gillett,M,Cargo Net,9,Complete
Sean Bryan,M,Cargo Net,9,Complete
Jonathan Godbout,M,Cargo Net,9,Complete
Kai Beckstrand,M,Cargo Net,9,Complete
Kevin Carbone,M,Cargo Net,9,Complete
Josiah Pippel,M,Cargo Net,9,Complete
Adam Rayl,M,Cargo Net,9,Complete
Elijah Browning,M,Cargo Net,9,Complete
Vance Walker,M,Cargo Net,9,Complete
Enzo DeFarrari Wilson,M,Cargo Net,9,Complete
Kaden Lebsack,M,Cargo Net,9,Complete
Brian Burkhardt,M,Cargo Net,9,Complete
Anthony Porter,M,Cargo Net,9,Complete
Jesse Labreck,F,Cargo Net,9,Complete
Mike Silenzi,M,Cargo Net,9,Complete
Kyle Soderman,M,Cargo Net,9,Complete
Matt Bradley,M,Cargo Net,9,Complete
Austin Gray,M,Cargo Net,9,Complete
Tage Harrington,M,Cargo Net,9,Complete
Jake Murray,M,Cargo Net,9,Complete
Joe Moravsky (Safety Pass),M,Cargo Net,9,Complete
